ID,Age,Education_Level,Years_of_Experience,Current_or_Target_Role,Technical_Skill_Score,Soft_Skill_Score,Domain_Knowledge_Score,Certification_Count,Training_Hours_Last_Year,Skill_Gap_Score,Readiness_Score,Employment_Status,Industry,Annual_Salary_USD,Career_Readiness_Level
1,,Diploma,0.6,Cybersecurity Analyst,61.0,53.5,65.0,0.0,310.0,41.87,47.35,Unemployed,,118274.0,Medium
2,,,8.4,,59.0,,,2.0,175.0,50.91,79.52,,,32296.0,High
3,,Bachelor,9.8,Data Analyst,48.0,57.0,92.0,7.0,35.0,30.15,47.31,Unemployed,Retail,26393.0,Low
4,25.0,Diploma,11.2,,49.0,44.5,94.0,2.0,301.0,42.46,90.36,,Finance,20121.0,High
5,38.0,,0.4,,,66.0,66.0,,291.0,92.79,,Employed,Healthcare,25655.0,Low
6,56.0,Diploma,5.0,Business Analyst,99.0,42.0,81.0,,,77.57,,Unemployed,,,High
7,36.0,High School,6.4,Cybersecurity Analyst,,85.0,67.0,1.0,,,31.21,Unemployed,,24115.0,Medium
8,,Diploma,5.2,Business Analyst,89.0,70.0,73.0,1.0,348.0,,53.58,Employed,,26432.0,Medium
9,28.0,Diploma,,,,89.0,90.0,3.0,245.0,11.69,,,Manufacturing,32896.0,High
10,28.0,PhD,3.4,Software Engineer,41.0,,98.0,7.0,440.0,8.24,38.02,,IT,124810.0,Low
11,,Master,,Cybersecurity Analyst,64.0,91.0,73.0,3.0,,,,Student,Healthcare,147323.0,Medium
12,53.0,High School,1.7,ML Engineer,,58.0,70.0,1.0,,0.83,41.15,Student,Retail,30363.0,Medium
13,57.0,High School,22.6,Cloud Engineer,83.0,,69.0,,331.0,,83.57,Unemployed,Education,123205.0,Low
14,41.0,,10.7,ML Engineer,87.0,65.0,75.0,3.0,,62.49,78.99,Unemployed,Retail,73253.0,Medium
15,,,7.7,ML Engineer,46.0,,63.0,3.0,,50.39,38.14,,Healthcare,43437.0,Low
16,39.0,Diploma,9.2,Software Engineer,96.0,64.0,74.0,,138.0,,82.28,Employed,Education,,High
17,,Diploma,9.1,ML Engineer,42.0,77.0,85.0,5.0,376.0,16.2,21.66,Student,,114597.0,Medium
18,41.0,High School,,Cybersecurity Analyst,,42.0,70.0,3.5,311.0,53.78,19.06,,Healthcare,60294.0,Low
19,,PhD,4.3,System Admin,58.5,44.0,84.0,6.0,186.0,44.83,42.81,,,27642.0,Low
21,,Diploma,1.1,Software Engineer,98.0,91.0,,1.0,146.0,85.09,,,IT,67235.0,Medium
23,52.5,Master,0.8,Cloud Engineer,90.0,84.0,61.0,,353.5,45.67,,Unemployed,Healthcare,36953.0,Medium
24,,High School,5.699999999999999,,46.0,,83.0,9.5,366.0,54.95,2.9,,IT,90430.0,Medium
25,41.5,Master,1.5,Business Analyst,92.5,,,2.0,94.0,66.73,82.28,Employed,Healthcare,108593.0,High
26,42.0,High School,,,85.0,49.5,,5.0,407.0,41.38,35.6,Student,Manufacturing,131411.0,Low
27,44.0,Bachelor,,ML Engineer,54.0,84.0,65.0,5.0,403.0,,,Unemployed,Education,69502.0,High
28,61.5,Master,,Data Analyst,70.0,73.0,64.5,2.0,136.0,,46.58,,Retail,143765.0,High
30,33.0,Bachelor,0.8,,,,56.0,2.0,206.0,62.25,59.46,Employed,,108546.0,Medium
31,32.0,Bachelor,,ML Engineer,,,51.0,4.0,,18.98,18.29,Student,Education,134027.0,High
32,20.0,Master,1.8,Cybersecurity Analyst,50.0,72.0,70.0,,,37.81,78.71,Student,IT,102885.0,Low
33,54.0,Master,7.2,,74.0,61.5,79.0,2.0,318.0,82.78,29.12,,Retail,119862.0,Medium
34,24.0,Master,8.0,,53.0,57.0,89.0,4.0,0.0,11.97,69.31,Student,Finance,,Medium
36,,,0.1,,47.0,76.0,,1.0,285.0,,26.31,Unemployed,Retail,112591.0,Low
37,56.0,Diploma,8.3,Data Analyst,,72.0,90.0,6.0,123.0,30.89,62.68,,Retail,,High
38,35.0,,3.3,,48.0,90.0,60.0,8.5,387.0,27.92,27.78,Employed,Finance,87901.0,Low
39,,Master,0.7,Cybersecurity Analyst,66.0,68.0,99.0,0.0,395.0,9.94,85.51,Unemployed,Retail,38427.0,Medium
40,42.0,PhD,7.1,ML Engineer,87.0,71.5,86.0,5.0,393.0,,95.13,,Healthcare,32718.0,Low
41,31.0,High School,0.3,Cloud Engineer,87.0,65.0,69.0,6.0,,,,Employed,,52484.0,High
42,26.0,Bachelor,10.1,Data Analyst,75.0,43.0,70.5,0.0,344.0,82.08,9.88,Student,Finance,135834.0,High
43,43.0,Bachelor,,Cybersecurity Analyst,60.0,76.0,84.0,7.0,280.0,59.57,,Employed,Finance,123208.0,High
44,19.0,,1.0,Software Engineer,87.0,69.0,85.0,5.0,428.0,56.22,82.91,,Education,117022.0,High
45,39.5,Master,5.7,Data Analyst,75.0,77.5,83.0,,136.0,96.2,,Student,Finance,82834.0,Low
