ID,Age,Education_Level,Years_of_Experience,Current_or_Target_Role,Technical_Skill_Score,Soft_Skill_Score,Domain_Knowledge_Score,Certification_Count,Training_Hours_Last_Year,Skill_Gap_Score,Readiness_Score,Employment_Status,Industry,Annual_Salary_USD,Career_Readiness_Level
0.0,39.0,Diploma,0.6,Cybersecurity Analyst,61.0,53.5,65.0,0.0,310.0,41.87,47.35,Unemployed,Unknown,118274.0,Medium
2.0,39.0,Unknown,8.4,Unknown,59.0,70.0,70.0,2.0,175.0,50.91,79.52,Unknown,Unknown,32296.0,High
3.0,39.0,Bachelor,9.8,Data Analyst,48.0,57.0,92.0,7.0,35.0,30.15,47.31,Unemployed,0.0,26393.0,Low
4.0,25.0,Diploma,11.2,Unknown,49.0,44.5,94.0,2.0,301.0,42.46,90.36,Unknown,Finance,20121.0,High
0.0,38.0,Unknown,0.4,Unknown,70.0,66.0,66.0,4.0,291.0,92.79,49.81,Employed,Healthcare,25655.0,Medium
0.0,56.0,amolpiD,5.0,Business Analyst,99.0,42.0,81.0,4.0,252.0,77.57,49.81,5.0,Unknown,84999.0,High
7.0,36.0,High School,6.4,Cybersecurity Analyst,70.0,85.0,67.0,1.0,252.0,49.66,31.21,5.0,Unknown,24115.0,Medium
8.0,39.0,Diploma,5.2,Business Analyst,89.0,70.0,73.0,1.0,348.0,49.66,53.58,1.0,Unknown,26432.0,Medium
9.0,28.0,Diploma,3.8,Unknown,70.0,89.0,90.0,3.0,245.0,11.69,49.81,Unknown,Manufacturing,32896.0,High
10.0,28.0,PhD,3.4,29.0,41.0,70.0,98.0,7.0,440.0,8.24,38.02,Unknown,IT,124810.0,Low
11.0,39.0,Master,3.8,Cybersecurity Analyst,64.0,91.0,73.0,3.0,252.0,49.66,49.81,Student,2.0,147323.0,Medium
12.0,53.0,High School,1.7,ML Engineer,70.0,58.0,70.0,1.0,252.0,0.83,41.15,3.0,Retail,30363.0,Medium
13.0,57.0,High School,22.6,Cloud Engineer,83.0,70.0,69.0,4.0,331.0,49.66,83.57,Unemployed,1.0,123205.0,High
14.0,41.0,Unknown,10.7,5.0,87.0,65.0,75.0,3.0,252.0,62.49,78.99,Unemployed,Retail,73253.0,Medium
0.0,39.0,Unknown,7.7,ML Engineer,46.0,70.0,63.0,3.0,252.0,50.39,38.14,Unknown,Healthcare,43437.0,Low
16.0,39.0,amolpiD,9.2,Software Engineer,96.0,64.0,74.0,4.0,138.0,49.66,82.28,Employed,1.0,84999.0,High
0.0,39.0,amolpiD,9.1,5.0,42.0,77.0,85.0,5.0,376.0,16.2,21.66,Student,Unknown,114597.0,Medium
18.0,41.0,High School,3.8,3.0,70.0,42.0,70.0,3.5,311.0,53.78,19.06,Unknown,Healthcare,60294.0,Low
19.0,39.0,UGhE,4.3,System Admin,58.5,44.0,84.0,6.0,186.0,44.83,42.81,Unknown,Unknown,27642.0,Low
20.0,55.0,Bachelor,3.8,Software Engineer,70.0,54.0,72.0,4.0,252.0,35.92,45.24,Student,IT,82486.0,Unknown
21.0,39.0,Diploma,1.1,Software Engineer,98.0,91.0,70.0,1.0,146.0,85.09,49.81,Unknown,IT,67235.0,Medium
22.0,38.0,Unknown,1.5,ML Engineer,63.0,40.0,40.0,4.0,252.0,46.22,25.35,Unemployed,Manufacturing,73753.0,Unknown
0.0,52.5,Master,0.8,Cloud Engineer,90.0,84.0,61.0,4.0,353.5,45.67,49.81,5.0,Healthcare,36953.0,Medium
0.0,39.0,High School,5.699999999999999,Unknown,46.0,70.0,83.0,9.5,366.0,54.95,2.9,Unknown,IT,90430.0,Medium
25.0,41.5,Master,1.5,Business Analyst,92.5,70.0,70.0,2.0,94.0,66.73,82.28,1.0,2.0,108593.0,High
