ID,Age,Education_Level,Years_of_Experience,Current_or_Target_Role,Technical_Skill_Score,Soft_Skill_Score,Domain_Knowledge_Score,Certification_Count,Training_Hours_Last_Year,Skill_Gap_Score,Readiness_Score,Employment_Status,Industry,Annual_Salary_USD,Career_Readiness_Level
0x1,nan,Diploma,0.6,Cybersecurity Analyst,61,51-56,65,0,310,41.87,47.35,Unemployed,,118274 USD,Medium
2,nan,NULL,8.4,?,"{""v"": 59}",MISSING,MISSING,2,"{""v"": 175}",50.91,"{""v"": 79.52}",?,MISSING,32296,High
3,nan,Bachelor,7.3-12.3,tsylanA ataD,48,"{""v"": 57}",92,7,35,30.15,47.31,Unemployed,UmV0YWls,26393,Low
4,"{""v"": 25}",Diploma,11.2,,49,42-47,"{""v"": 94}",2,301,"{""v"": 42.46}",87.86-92.86,nan,Finance,20121,High
0x5,38,MISSING,0.4,nan,nan,66,66,?,291,90.29-95.29,MISSING,deyolpmE,Healthcare,25655,TG93
0x6,Val_56,amolpiD,5.0,tsylanA ssenisuB,99,42,81,nan,MISSING,77.57,nan,VW5lbXBsb3llZA==,MISSING,,High
7,Val_36,High School,"{""v"": 6.4}",tsylanA ytirucesrebyC,,85,67,1,?,?,31.21,VW5lbXBsb3llZA==,MISSING,24115,TWVkaXVt
8,NULL,Diploma,2.7-7.7,Business Analyst,89,70,"{""v"": 73}","{""v"": 1}",348,,53.58,RW1wbG95ZWQ=,MISSING,26432 USD,TWVkaXVt
9,28,Diploma,MISSING,nan,?,89,90,3,245,11.69,,nan,gnirutcafunaM,$32896,High
10,28,PhD,3.4,U29mdHdhcmUgRW5naW5lZXI=,41,MISSING,98,7,440,Val_8.24,38.02,NULL,IT,124810,Low
11,MISSING,Master,MISSING,Cybersecurity Analyst,"{""v"": 64}",91,Val_73,3,NULL,,,Student,SGVhbHRoY2FyZQ==,$147323,Medium
12,53,High School,"{""v"": 1.7}",ML Engineer,,58,70,1,NULL,0.83,41.15,U3R1ZGVudA==,Retail,30363,Medium
13,"{""v"": 57}",High School,22.6,Cloud Engineer,83,?,69,?,331,,"{""v"": 83.57}",Unemployed,RWR1Y2F0aW9u,123205,TG93
14,Val_41,nan,10.7,TUwgRW5naW5lZXI=,87,65,75,3,nan,62.49,78.99,deyolpmenU,Retail,73253 USD,muideM
0xf,,,7.7,ML Engineer,Val_46,,"{""v"": 63}",3,?,50.39,38.14,NULL,Healthcare,43437,Low
16,39,amolpiD,9.2,Software Engineer,96,64,74,,138,MISSING,"{""v"": 82.28}",deyolpmE,RWR1Y2F0aW9u,nan,High
0x11,?,amolpiD,9.1,TUwgRW5naW5lZXI=,42,77,85,5,376,16.2,Val_21.66,Student,,$114597,Medium
18,"{""v"": 41}",High School,NULL,Q3liZXJzZWN1cml0eSBBbmFseXN0,NULL,42,Val_70,1-6,"{""v"": 311}",53.78,19.06,,Healthcare,60294,Low
19,NULL,UGhE,4.3,System Admin,56-61,44,84,6,186,42.33-47.33,42.81,?,NULL,27642,Low
20,55,Bachelor,MISSING,Software Engineer,,54,72,MISSING,nan,Val_35.92,45.24,Student,SVQ=,82486,NULL
21,?,Diploma,1.1,Software Engineer,98,91,NULL,1,146,85.09,NULL,NULL,SVQ=,67235 USD,Medium
22,38,,1.5,ML Engineer,63,40,40,?,MISSING,Val_46.22,22.85-27.85,Unemployed,Manufacturing,73753,?
0x17,50-55,Master,0.8,reenignE duolC,"{""v"": 90}",84,"{""v"": 61}",MISSING,351-356,"{""v"": 45.67}",?,VW5lbXBsb3llZA==,Healthcare,36953,Medium
0x18,NULL,High School,3.2-8.2,NULL,"{""v"": 46}",NULL,83,7-12,366,54.95,2.9,nan,IT,90430 USD,TWVkaXVt
25,39-44,Master,1.5,tsylanA ssenisuB,90-95,nan,,2,94,66.73,79.78-84.78,RW1wbG95ZWQ=,SGVhbHRoY2FyZQ==,108593,High
26,"{""v"": 42}",SGlnaCBTY2hvb2w=,NULL,NULL,85,47-52,NULL,Val_5,407,41.38,35.6,tnedutS,TWFudWZhY3R1cmluZw==,131411,Low
27,44,Bachelor,nan,ML Engineer,Val_54,84,65,5,403,nan,MISSING,Unemployed,Education,69502 USD,SGlnaA==
28,59-64,Master,?,Data Analyst,70,73,62-67,2,136,?,Val_46.58,?,Retail,143765,High
29,"{""v"": 45}",Bachelor,4.5,TUwgRW5naW5lZXI=,52-57,Val_64,88-93,5,381,53.11,NULL,Unemployed,Education,34584,MISSING
0x1e,33,rolehcaB,0.8,NULL,NULL,nan,56,2,206,62.25,59.46,Employed,nan,108546 USD,Medium
31,32,QmFjaGVsb3I=,,ML Engineer,NULL,nan,"{""v"": 51}",4,?,Val_18.98,18.29,Student,Education,134027,High
32,20,Master,1.8,Q3liZXJzZWN1cml0eSBBbmFseXN0,50,72,"{""v"": 70}",nan,MISSING,35.31-40.31,"{""v"": 78.71}",U3R1ZGVudA==,IT,102885,Low
0x21,54,Master,7.2,NULL,74,59-64,79,2,318,82.78,Val_29.12,NULL,liateR,$119862,muideM
34,24,Master,8.0,nan,53,57,89,4,0,11.97,"{""v"": 69.31}",U3R1ZGVudA==,Finance,nan,Medium
35,38-43,Diploma,21.3,TUwgRW5naW5lZXI=,57,43,MISSING,2,131,0.25,94.47,MISSING,Education,113362,
36,MISSING,?,0.1,,"{""v"": 47}","{""v"": 76}",MISSING,1,285,MISSING,26.31,Unemployed,Retail,112591,Low
37,56,RGlwbG9tYQ==,8.3,Data Analyst,,72,Val_90,6,123,Val_30.89,62.68,NULL,Retail,NULL,hgiH
0x26,"{""v"": 35}",,3.3,NULL,Val_48,"{""v"": 90}",60,6-11,387,27.92,27.78,RW1wbG95ZWQ=,ecnaniF,87901,TG93
39,NULL,retsaM,0.7,Cybersecurity Analyst,Val_66,68,99,Val_0,395,Val_9.94,85.51,Unemployed,UmV0YWls,38427,Medium
40,Val_42,PhD,7.1,ML Engineer,Val_87,69-74,86,5,393,NULL,95.13,,Healthcare,32718,TG93
41,31,High School,0.3,Cloud Engineer,87,65,69,6,,,MISSING,RW1wbG95ZWQ=,nan,52484,High
42,26,QmFjaGVsb3I=,10.1,Data Analyst,75,43,68-73,0,344,82.08,9.88,Student,Finance,135834 USD,High
43,Val_43,Bachelor,NULL,Q3liZXJzZWN1cml0eSBBbmFseXN0,60,76,84,7,280,59.57,MISSING,Employed,Finance,123208,High
44,Val_19,,1.0,Software Engineer,Val_87,69,85,5,428,Val_56.22,82.91,MISSING,Education,117022,hgiH
